prob,height,length,size,area,label
1.3544666899178992e-07,1924,440,392421,846560,1
1.651047770723224e-10,858,592,155328,507936,1
1.0,381,594,17494,226314,0
1.5175407597212143e-08,689,500,133006,344500,1
7.893425646443575e-08,750,690,128935,517500,1
6.95136900515439e-14,960,1706,325481,1637760,1
1.598456123019787e-07,533,500,60881,266500,1
1.4063330571365907e-20,1440,2560,1188102,3686400,1
1.0,640,360,28588,230400,0
1.7272266950030257e-10,419,558,108156,233802,1
4.768415344654983e-14,330,440,43242,145200,1
1.0,1226,690,132634,845940,0
1.0,480,360,22191,172800,0
2.5818998089684186e-13,480,480,21170,230400,1
1.016356696882919e-14,587,904,140765,530648,1
3.156047156949171e-08,887,705,210813,625335,1
9.44021305571141e-10,320,400,52468,128000,1
1.988706443967203e-08,378,238,63175,89964,1
2.2823525114290533e-07,280,519,41281,145320,1
4.4960329903531715e-10,1280,960,406458,1228800,1
1.470277639174422e-17,1706,960,251576,1637760,1
1.0832168495511496e-11,565,710,57413,401150,1
1.2378670516583374e-16,407,450,31514,183150,1
1.0,509,360,34624,183240,0
0.9998852014541626,180,180,3775,32400,0
1.0571054787078538e-07,960,1280,270345,1228800,1
2.0506746301052203e-10,440,440,188644,193600,1
1.1424903245682572e-09,716,600,79340,429600,1
1.2580162547237705e-05,250,141,9127,35250,1
1.0,499,360,29121,179640,0
0.9996190071105957,157,157,5487,24649,0
3.015561844676995e-08,767,662,78461,507754,1
0.2148803025484085,1,1,799,1,0
3.902455753243729e-16,1369,2048,1012710,2803712,1
1.0,1227,690,243207,846630,0
0.9998961687088013,270,299,28396,80730,0
7.57346907409584e-10,1280,960,283743,1228800,1
1.0,518,690,150971,357420,0
4.59418718345983e-11,2581,480,450025,1238880,1
0.9999998807907104,480,272,13263,130560,0
9.570469416964045e-15,960,1280,230984,1228800,1
6.768365892639849e-06,1061,800,260361,848800,1
1.0,380,360,16481,136800,0
9.920990233977516e-19,3024,4032,4474047,12192768,1
3.921890765923308e-06,518,690,139333,357420,1
1.0,180,180,12998,32400,0
0.9992266893386841,640,480,76682,307200,0
0.9999958276748657,640,368,13746,235520,0
8.42136749223954e-10,240,426,18204,102240,1
1.0,304,440,24600,133760,0
0.9999898672103882,270,271,7179,73170,0
0.9999998807907104,640,426,96997,272640,0
2.0333319988678766e-13,565,500,105767,282500,1
2.3292798896276667e-13,683,1024,219063,699392,1
0.9999998807907104,180,180,8104,32400,0
1.0,263,217,11972,57071,0
1.941810842254199e-05,236,316,20880,74576,1
2.697670424822718e-06,960,1280,286897,1228800,1
5.2520983118142794e-09,610,885,95546,539850,1
0.999994158744812,180,180,5447,32400,0
7.971449021704213e-12,261,206,643969,53766,1
1.0,474,360,53242,170640,0
6.85076145146013e-07,234,434,1159433,101556,1
0.0003099455207120627,450,600,39181,270000,1
1.0,150,150,7424,22500,0
5.45158418407965e-10,440,640,95587,281600,1
1.935986482237695e-09,240,292,18662,70080,1
5.415407705600117e-13,802,690,308784,553380,1
0.9999996423721313,846,690,112769,583740,0
6.49263809382461e-10,645,448,126255,288960,1
9.19907352425069e-19,683,1024,448969,699392,1
0.9999998807907104,615,360,36154,221400,0
1.0,601,450,48142,270450,0
1.0,270,424,17858,114480,0
9.827351320684982e-19,587,440,61219,258280,1
7.226346393019237e-15,360,640,70939,230400,1
4.848652110922558e-07,1334,750,251281,1000500,1
1.0,160,160,11927,25600,0
8.847453614180267e-08,533,400,84842,213200,1
1.0,497,360,25390,178920,0
0.9999994039535522,460,690,25167,317400,0
1.0,453,360,30767,163080,0
1.917353788290246e-18,800,1200,112641,960000,1
3.0115327412401175e-19,339,452,82307,153228,1
1.0,639,360,32142,230040,0
3.501949777273694e-06,460,690,31280,317400,1
1.0,270,405,15143,109350,0
1.0,640,360,16759,230400,0
1.0,854,640,117616,546560,0
1.1767553598218683e-09,480,844,86628,405120,1
7.933452506048155e-12,480,480,25139,230400,1
0.00026433588936924934,286,400,872404,114400,1
7.039906790851092e-08,333,600,70666,199800,1
0.9999992847442627,496,340,28166,168640,0
4.2221659501961994e-10,394,600,125862,236400,1
1.4977246109992848e-09,1918,690,189753,1323420,1
6.928759717084176e-07,270,480,29029,129600,1
1.0,640,426,36411,272640,0
1.0,180,180,10335,32400,0
1.0,364,360,27223,131040,0
1.0094746016875433e-07,1634,440,360080,718960,1
3.561587619472411e-15,1702,960,496443,1633920,1
0.9999524354934692,640,360,15564,230400,0
1.1658785915857894e-11,1471,640,203768,941440,1
9.037332514283403e-12,536,612,65908,328032,1
1.0,160,160,11438,25600,0
1.0,489,360,17678,176040,0
0.9999992847442627,960,540,83592,518400,0
0.9999953508377075,616,443,65615,272888,0
1.5227030747411163e-10,800,450,101868,360000,1
1.807622311389423e-06,168,300,1013405,50400,1
4.618756429408677e-05,743,600,39283,445800,1
1.0,180,180,17847,32400,0
4.0578640708027747e-13,883,550,57027,485650,1
1.7700602095160889e-09,1536,2048,1316409,3145728,1
1.0,360,360,16875,129600,0
4.0863241679289786e-08,1280,960,384425,1228800,1
1.0,199,200,11908,39800,0
4.1964125507831795e-09,388,690,62982,267720,1
1.0,270,344,17803,92880,0
6.443501288089237e-10,640,720,40278,460800,1
1.0,270,354,20909,95580,0
3.822415273191382e-09,450,400,45362,180000,1
1.8368947572878257e-18,1470,960,288775,1411200,1
1.8527450699563027e-23,1900,2200,449005,4180000,1
1.0,480,272,16353,130560,0
4.592713764850487e-07,800,642,129057,513600,1
1.0,690,690,75536,476100,0
3.3116592801363254e-10,295,295,5259195,87025,1
2.293224943272776e-09,682,408,139219,278256,1
1.0,1199,360,112058,431640,0
0.9999990463256836,314,420,40613,131880,0
3.7370270433711994e-08,201,268,18551,53868,1
3.6477427745040814e-09,342,546,82059,186732,1
0.9999998807907104,270,480,15447,129600,0
5.478090656652057e-07,282,501,35745,141282,1
1.0,854,640,63158,546560,0
5.444977801971618e-09,409,440,73135,179960,1
6.993753909334544e-10,440,440,35459,193600,1
3.153139305211994e-09,720,1280,156794,921600,1
0.9999973773956299,960,541,74136,519360,0
1.0,180,180,5284,32400,0
1.518175849923864e-05,440,440,31212,193600,1
1.0,540,360,28499,194400,0
5.259219051367836e-07,1004,690,244105,692760,1
1.0,1199,360,86410,431640,0
1.3455471048473555e-07,801,500,159419,400500,1
0.999984860420227,800,451,48449,360800,0
1.2187811648800562e-07,1334,750,227531,1000500,1
5.046832711741445e-07,1309,960,159911,1256640,1
2.3148844630451262e-14,330,440,31131,145200,1
3.3368757756946366e-10,2160,1080,273167,2332800,1
1.4408242828001239e-11,518,780,95274,404040,1
2.2651801268036564e-10,503,662,69365,332986,1
0.9999984502792358,400,226,14108,90400,0
7.717667493423347e-19,960,1440,321270,1382400,1
2.43091130558426e-10,3701,440,1356411,1628440,1
1.0194539656893653e-09,746,666,99137,496836,1
0.9919191002845764,374,690,90824,258060,0
9.964124352840675e-17,1536,2048,819973,3145728,1
3.6885198824165855e-06,254,437,15029,110998,1
1.0,160,160,15593,25600,0
1.0,423,360,28860,152280,0
0.9999277591705322,257,440,19914,113080,0
0.9999991655349731,854,640,32232,546560,0
1.0,480,360,25820,172800,0
3.5472125237134833e-09,1920,1080,788728,2073600,1
1.1365843682886734e-10,1180,720,127971,849600,1
8.834000891910776e-11,450,600,92543,270000,1
2.7622598652854435e-10,423,600,58077,253800,1
1.0,200,200,15424,40000,0
1.0,533,360,32812,191880,0
6.720519141190096e-10,261,372,68102,97092,1
1.0,270,366,19629,98820,0
2.081945460474799e-08,452,700,96143,316400,1
4.3201325850006356e-10,465,700,132171,325500,1
1.0,568,320,22204,181760,0
1.0,266,400,41346,106400,0
1.482218653370282e-10,550,393,50885,216150,1
1.0639776892266442e-17,563,1000,171293,563000,1
0.9999041557312012,584,400,49852,233600,0
2.4397706077650128e-09,360,640,33566,230400,1
6.0778303191028036e-18,600,600,193636,360000,1
1.0,481,360,27684,173160,0
1.1350709428370465e-05,1250,440,150646,550000,1
7.429602072450692e-11,539,690,111360,371910,1
2.1981670670356834e-06,357,680,43493,242760,1
7.971411308815846e-10,1156,690,150931,797640,1
4.206846426768607e-09,1280,720,135617,921600,1
1.0,854,480,113767,409920,0
1.0,480,360,24068,172800,0
3.3309871527720247e-10,1440,1080,202236,1555200,1
0.9994040727615356,1226,690,196347,845940,0
1.9912789195331015e-09,562,1000,132085,562000,1
1.160752483714278e-12,356,641,45993,228196,1
3.201732923230338e-08,331,397,29729,131407,1
1.0,1136,640,100282,727040,0
1.0,540,360,43759,194400,0
5.607863950984893e-09,662,440,92253,291280,1
3.577437837520847e-06,713,488,143425,347944,1
1.0,481,360,37526,173160,0
1.0,350,559,45730,195650,0
4.2732443716886337e-07,263,440,14349,115720,1
0.9999991655349731,1200,360,65820,432000,0
0.00011182505113538355,1178,690,153855,812820,1
1.3987261002212925e-11,261,206,19999,53766,1
8.863261174631577e-16,921,720,152803,663120,1
6.479701664119375e-09,362,479,20233,173398,1
2.971161734421912e-07,600,800,59664,480000,1
4.699614692071918e-06,581,389,110375,226009,1
5.622978645203336e-12,827,550,51430,454850,1
7.981270089274517e-10,280,496,53262,138880,1
1.0,270,360,10539,97200,0
1.0,541,360,29451,194760,0
1.0,200,200,13976,40000,0
3.677076438474147e-12,503,620,104011,311860,1
6.944772990187531e-13,810,1080,201596,874800,1
7.149940361994567e-11,600,800,47691,480000,1
1.0,480,360,28393,172800,0
1.0,641,360,35284,230760,0
0.9999897480010986,854,640,56526,546560,0
1.0,422,360,26684,151920,0
0.9999709129333496,1199,360,94774,431640,0
1.1687863121778719e-07,400,304,39833,121600,1
1.0,640,480,92649,307200,0
1.1724022442649584e-05,436,440,43794,191840,1
1.9148838070748297e-10,5379,1024,2040060,5508096,1
1.0,270,426,14357,115020,0
0.9999974966049194,422,417,40090,175974,0
1.0,384,556,19689,213504,0
2.0050133571203332e-06,863,440,233590,379720,1
5.941749176008315e-11,174,174,6575,30276,1
0.9999960660934448,379,360,22500,136440,0
0.9999986886978149,197,364,22549,71708,0
1.0,270,343,12949,92610,0
4.354285465524299e-08,11458,800,2306033,9166400,1
1.0,1136,640,105951,727040,0
3.674264885400458e-12,960,1280,406574,1228800,1
5.872444024113133e-12,800,600,137192,480000,1
1.0418498950438072e-20,9395,1785,1568772,16770075,1
1.910177988007078e-10,319,480,45529,153120,1
1.8430279524750404e-08,2560,1923,1022273,4922880,1
1.0,568,320,16415,181760,0
0.9999028444290161,180,180,6807,32400,0
1.066362947241002e-17,1080,1621,999352,1750680,1
9.175392650523362e-13,300,414,28460,124200,1
3.7797084928570257e-07,550,440,19982,242000,1
2.2268628532213564e-16,723,1280,151488,925440,1
9.272674295068839e-11,810,1440,301582,1166400,1
0.00222080503590405,488,467,81744,227896,1
1.0,346,255,11782,88230,0
0.9999816417694092,388,690,107484,267720,0
1.0,431,360,20723,155160,0
1.4076486620514621e-19,1316,740,150520,973840,1
6.473231337622565e-07,640,640,67856,409600,1
0.9999998807907104,498,428,30985,213144,0
0.00016984890680760145,485,620,66422,300700,1
1.7470384250373172e-08,547,393,29624,214971,1
1.0,220,400,7238,88000,0
1.8192735069533228e-06,1228,750,353202,921000,1
1.0,540,360,28885,194400,0
9.372901565996017e-09,646,750,42719,484500,1
4.7601916711766806e-14,565,500,105588,282500,1
0.0007741167210042477,279,480,1735700,133920,1
6.174493785886252e-30,1428,1125,465020,1606500,1
5.293868642064492e-12,500,500,141533,250000,1
2.035953485801656e-07,356,440,33426,156640,1
1.0,802,690,98045,553380,0
1.0,746,518,91514,386428,0
6.006344033249178e-11,499,550,48322,274450,1
1.0690589385964344e-10,1159,500,191256,579500,1
1.0,640,360,33164,230400,0
1.4745558290021887e-12,920,690,230147,634800,1
0.9999886751174927,729,547,91565,398763,0
8.223188530109837e-08,3344,5016,3921203,16773504,1
1.0,540,360,29607,194400,0
2.602321001177188e-05,960,1281,340217,1229760,1
5.069386723788887e-20,255,452,37003,115260,1
1.1100218699766629e-07,450,640,34999,288000,1
5.863938099537336e-07,498,664,57592,330672,1
1.6832601935565239e-12,300,300,11279,90000,1
1.466705299435489e-07,500,344,70627,172000,1
4.611389936570731e-09,167,630,18159,105210,1
2.1864734662813134e-05,319,574,36033,183106,1
3.830645800562138e-10,360,600,34732,216000,1
3.58549073098402e-07,759,440,170187,333960,1
1.0,180,180,4963,32400,0
1.0,331,500,72674,165500,0
3.6499487876540115e-09,690,690,79469,476100,1
0.9999998807907104,640,640,93202,409600,0
1.1647405262493749e-11,960,1280,177974,1228800,1
9.270950229733899e-09,666,1000,144355,666000,1
2.916634381927574e-12,640,971,100993,621440,1
0.19029302895069122,192,611,27979,117312,0
7.564610768895363e-07,199,586,32801,116614,1
2.7173874084740798e-17,469,587,51218,275303,1
1.0,1199,360,86948,431640,0
0.9999997615814209,1227,690,164189,846630,0
1.5528947919229985e-11,1026,719,78509,737694,1
1.3556731737196515e-08,360,640,17129,230400,1
1.3647591781321524e-15,480,480,21193,230400,1
1.2621646783284035e-11,1080,876,145771,946080,1
5.81342362693249e-07,382,567,118269,216594,1
1.0,266,460,14387,122360,0
1.1955972212263077e-08,94,140,4339,13160,1
9.677522523035727e-15,540,720,66274,388800,1
4.438068315626431e-11,322,558,58137,179676,1
8.64841420700202e-10,920,690,184241,634800,1
1.0,550,413,65760,227150,0
2.2784033149036986e-07,388,690,105216,267720,1
1.0,1199,360,97148,431640,0
1.0,749,450,46454,337050,0
1.0,375,500,91920,187500,0
0.9999996423721313,270,455,22752,122850,0
0.9999855756759644,1080,1080,230632,1166400,0
0.9999984502792358,342,320,25703,109440,0
8.922802614504989e-15,1440,1080,211908,1555200,1
3.858136551571079e-06,709,686,48493,486374,1
1.0,640,360,40015,230400,0
1.0,200,200,14310,40000,0
4.886948179461115e-09,480,640,72403,307200,1
1.0,180,180,4256,32400,0
1.655415103499029e-14,1706,960,167713,1637760,1
1.895303792381897e-12,224,400,13706,89600,1
6.214058802698093e-27,1717,1440,569982,2472480,1
3.343152684465167e-06,41,432,2757,17712,1
6.77753860145458e-06,960,544,98603,522240,1
1.0,1227,690,139617,846630,0
2.155691181116026e-09,489,859,137684,420051,1
5.058848007166716e-09,333,500,52937,166500,1
1.0,568,320,17660,181760,0
2.079815369318111e-18,361,634,90583,228874,1
1.0,480,360,31037,172800,0
1.0,480,360,38143,172800,0
1.0,180,180,6848,32400,0
1.0,412,550,97670,226600,0
9.943127952283248e-05,800,600,208794,480000,1
0.9999974966049194,360,360,11535,129600,0
1.0,200,200,20123,40000,0
0.9999995231628418,180,180,14899,32400,0
3.4590378888398316e-21,454,560,67947,254240,1
0.9999998807907104,180,180,11723,32400,0
1.0,852,640,52247,545280,0
4.317802625858347e-13,276,377,18620,104052,1
1.9513954896410723e-07,1950,440,205234,858000,1
1.0,180,180,12321,32400,0
3.837442533470613e-16,522,750,57665,391500,1
1.1730867299775127e-07,367,490,17128,179830,1
1.8015318783200923e-13,143,201,4287,28743,1
3.3996826687143766e-08,320,480,15754,153600,1
0.999992847442627,852,616,106109,524832,0
1.1152877050335519e-05,798,431,113392,343938,1
5.956116710947867e-10,560,600,160846,336000,1
0.9999990463256836,180,180,5078,32400,0
2.9920380484327325e-07,550,440,94899,242000,1
0.9999940395355225,751,640,77058,480640,0
1.1051455974311897e-12,351,578,39226,202878,1
1.0,853,480,25611,409440,0
0.9999994039535522,344,500,68230,172000,0
1.0,270,359,19629,96930,0
2.859699541298945e-22,440,440,39242,193600,1
4.6297763844904694e-08,2507,440,473317,1103080,1
2.3173802219389472e-06,360,642,31939,231120,1
1.0,160,160,9045,25600,0
1.913204317194328e-10,200,200,19078,40000,1
0.9999691247940063,257,440,18973,113080,0
7.562225619039964e-06,322,440,54334,141680,1
1.0,854,640,32137,546560,0
1.0,479,360,20233,172440,0
1.0,160,160,11327,25600,0
1.0,5705,478,801663,2726990,0
1.0,640,480,84809,307200,0
3.6470842986921066e-19,2690,4032,3303118,10846080,1
7.80980488612748e-11,375,544,72502,204000,1
1.0,960,544,52078,522240,0
5.936382496685155e-10,354,632,36592,223728,1
4.036955145170218e-11,418,630,53440,263340,1
1.0,160,160,12424,25600,0
1.0,270,360,11048,97200,0
1.5072668387385892e-14,1326,1242,228367,1646892,1
3.485389970592223e-05,358,553,41137,197974,1
6.874774865052793e-14,740,640,81707,473600,1
7.65557006676687e-10,960,1280,238826,1228800,1
0.9999128580093384,526,440,54425,231440,0
8.62888726400543e-14,1448,1024,390426,1482752,1
6.6114167409308845e-22,1080,1080,108854,1166400,1
1.0,180,180,12847,32400,0
3.2874386298299783e-16,518,690,203230,357420,1
1.0028565163629904e-13,254,400,37468,101600,1
2.5906112810503146e-09,689,500,132777,344500,1
1.1950764691753772e-17,1243,960,132867,1193280,1
5.272325438454573e-07,4935,440,714452,2171400,1
7.0291987333919695e-16,4032,3024,2863685,12192768,1
2.58581874030658e-16,1706,960,127446,1637760,1
0.9999992847442627,388,690,86619,267720,0
1.0,180,180,16969,32400,0
4.965041284776817e-07,1713,440,359680,753720,1
1.0,800,533,66886,426400,0
1.9296824138592683e-09,642,440,64823,282480,1
2.3829377727396994e-18,643,899,127818,578057,1
1.9741167034403873e-10,2730,4096,1271119,11182080,1
9.555791713466988e-10,960,1280,254288,1228800,1
1.0,847,480,36734,406560,0
1.0,640,480,86168,307200,0
1.0,180,180,6903,32400,0
2.8580035907332935e-11,1280,960,468680,1228800,1
7.7733393482049e-06,540,720,60578,388800,1
2.6334674458478036e-12,350,610,61090,213500,1
3.032939838946286e-13,1467,1435,795345,2105145,1
1.0,440,440,51456,193600,0
5.923238534422768e-18,480,846,17913136,406080,1
3.623820001483798e-23,960,1440,337954,1382400,1
7.168908522370288e-11,304,456,62291,138624,1
1.0,374,500,78923,187000,0
5.494388801707828e-07,400,600,141258,240000,1
5.155922266908419e-08,606,1024,65183,620544,1
9.68143690216472e-11,410,650,128493,266500,1
4.004919063049783e-08,418,440,66361,183920,1
